2014-12-05 07:00:37,762 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:89] Fri Dec 12 04:00:37 CET 2014, 1418353237637
2014-12-05 07:00:37,762 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:89] Fri Dec 12 05:40:37 CET 2014, 1418359237637
2014-12-05 07:00:37,762 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:89] Fri Dec 12 07:20:37 CET 2014, 1418365237637
2014-12-05 07:00:37,762 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:89] Fri Dec 12 09:00:37 CET 2014, 1418371237637
2014-12-05 07:00:37,762 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:89] Fri Dec 12 10:40:37 CET 2014, 1418377237637
2014-12-05 07:00:37,762 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:89] Fri Dec 12 11:00:00 CET 2014, 1418378400000
2014-12-05 07:00:37,762 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:89] Fri Dec 12 11:30:00 CET 2014, 1418380200000
2014-12-05 07:00:37,762 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:89] Fri Dec 12 12:00:00 CET 2014, 1418382000000
2014-12-05 07:00:37,762 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:89] Fri Dec 12 12:20:37 CET 2014, 1418383237637
2014-12-05 07:00:37,762 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:89] Fri Dec 12 12:30:00 CET 2014, 1418383800000
2014-12-05 07:00:37,762 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:89] Fri Dec 12 13:00:00 CET 2014, 1418385600000
2014-12-05 07:00:37,762 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:89] Fri Dec 12 13:30:00 CET 2014, 1418387400000
2014-12-05 07:00:37,762 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:89] Fri Dec 12 14:00:00 CET 2014, 1418389200000
2014-12-05 07:00:37,762 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:89] Fri Dec 12 14:00:37 CET 2014, 1418389237637
2014-12-05 07:00:37,762 DEBUG [eurogiro-sftp] eurogiro-sftp [SftpFileHandler.java:89] Fri Dec 12 14:30:00 CET 2014, 1418391000000
