Own BIC	Correspondent	Service	R. Status		R. Validity	R. Start Date	R. End Date		R. Restr.	R. Trans.	S. Status	S. Validity	S. Start Date	S. End Date	S. Restr.
POBNSKBA	PBZGHR2X	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	PKOPPLPW	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	PMBPCZPP	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	PNBPGB2L	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	PNBPUS3N	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	POBNCZPP	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	POBNSKBA	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	POFICHBE	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	POLUPLPR	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	POSOIT22	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	PPABPLPK	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	PROBSI2X	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	PRVASKBA	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	PSPBFIHH	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	RBOSGB2L	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	RBOSGB2M	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	RBOSNL2A	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	RCBWPLPW	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	RLBBAT2E	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	RLNWATWW	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	RNCBROBU	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	RVVGAT2B	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	RZBAATWW	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	RZBCCZPP	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	RZKTAT2K	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	RZOOAT2L	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	RZOODE77	swift.fin	Enabled		Valid					Sent to Correspondent	Enabled	Valid			
POBNSKBA	RZSTAT2G	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	SABRRUMM	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	SBLLGB2L	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	SBZAZAJJ	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	SCBLUS33	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	SLZBSKBA	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	SMBCJPJT	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	SMBCUS33	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	SMHBDEFF	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	SOGEFRPP	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	SOGEHR22	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	SOLACZPP	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	SOLADEST	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	SOVTHU22	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	SPRONO22	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	SUBACZPP	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	SUBASKBX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	SYBKDK22	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	SZDBCNBS	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	TAKBHUHB	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	TATRSKBX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	TCBBTWTH	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	TOTAPTPL	swift.fin	Enabled		Valid										
POBNSKBA	TRGTXEPM	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	TRRYRUMM	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	TUROUZ22	swift.fin	Enabled		Valid					Sent to Correspondent	Enabled	Valid			
POBNSKBA	UBRTHUHB	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	UNCRIT2B	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	UNCRIT2T	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	UNCRIT2V	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	UNCRITMM	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	UNCRSKBX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	VBOEATWW	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	VBOECZ2X	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	VRBPIT2V	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	VSGKAT2K	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	VTBRRUMM	swift.fin	Rejected		Invalid						Revoked	Invalid			
POBNSKBA	WBKPPLPP	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	WELADEDD	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	ZABAHR2X	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	ZIBACZPP	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	ZJTLCNBH	swift.fin	Enabled		Valid						Enabled	Valid			
